exp_id,(match_percentage) for 1/30/2025,(match_percentage) for 2/18/2025,(match_percentage) for 2/5/2025,UniqueConcatenate(Protocol)
196587,84,73,95,Affinity_Wilmington
196729,92,81,85,Affinity_Wilmington
196799,43,35,86,Affinity_Wilmington
196827,76,64,96,Affinity_Wilmington
196828,84,76,96,Affinity_Wilmington
196829,84,66,70,Affinity_Wilmington
196832,86,73,94,Affinity_Wilmington
196833,78,74,96,Affinity_Wilmington
196834,68,54,96,Affinity_Wilmington
196862,81,21,96,Affinity_Wilmington
196863,77,73,95,Affinity_Wilmington
196890,77,68,85,Affinity_Wilmington
196941,86,74,83,Affinity_Wilmington
196960,71,41,85,Affinity_Wilmington
197001,77,69,96,Affinity_Wilmington
197008,62,49,94,Affinity_Wilmington
197010,68,60,59,Affinity_Wilmington
197014,82,71,87,Affinity_Wilmington
197021,62,47,91,Affinity_Wilmington
197024,88,44,95,Affinity_Wilmington
197026,89,74,96,Affinity_Wilmington
197047,86,80,95,Affinity_Wilmington
197048,80,66,96,Affinity_Wilmington
197104,75,62,95,Affinity_Wilmington
197106,82,70,96,Affinity_Wilmington
197108,83,72,95,Affinity_Wilmington
197109,92,89,96,Affinity_Wilmington
197116,84,66,95,Affinity_Wilmington
197123,84,72,95,Affinity_Wilmington
197154,86,75,94,Affinity_Wilmington
197171,88,74,96,Affinity_Wilmington
197173,87,81,95,Affinity_Wilmington
197182,90,86,95,Affinity_Wilmington
197261,77,69,95,Affinity_Wilmington
197304,84,77,93,Affinity_Wilmington
197310,87,80,89,Affinity_Wilmington
197377,78,69,96,Affinity_Wilmington
197378,82,71,92,Affinity_Wilmington
197390,82,70,89,Affinity_Wilmington
197391,62,46,91,Affinity_Wilmington
197397,76,62,79,Affinity_Wilmington
197440,76,22,95,Affinity_Wilmington
197446,76,68,61,Affinity_Wilmington
197461,84,73,95,Affinity_Wilmington
197467,87,72,93,Affinity_Wilmington
197469,83,68,94,Affinity_Wilmington
197474,79,61,93,Affinity_Wilmington
197478,80,74,96,Affinity_Wilmington
197480,76,67,95,Affinity_Wilmington
197483,82,72,95,Affinity_Wilmington
197486,75,59,80,Affinity_Wilmington
197508,86,74,95,Affinity_Wilmington
197513,85,81,95,Affinity_Wilmington
197529,84,71,96,Affinity_Wilmington
197544,89,81,96,Affinity_Wilmington
197547,74,68,96,Affinity_Wilmington
197549,77,65,96,Affinity_Wilmington
197551,88,85,96,Affinity_Wilmington
197552,82,71,96,Affinity_Wilmington
197553,81,75,96,Affinity_Wilmington
197554,88,84,96,Affinity_Wilmington
197571,72,51,94,Affinity_Wilmington
197574,77,63,95,Affinity_Wilmington
197584,69,54,91,Affinity_Wilmington
197585,84,73,94,Affinity_Wilmington
197589,84,72,95,Affinity_Wilmington
197598,87,75,89,Affinity_Wilmington
197638,88,77,83,Affinity_Wilmington
197692,62,40,57,Affinity_Wilmington
197724,89,84,96,Affinity_Wilmington
197754,80,71,95,Affinity_Wilmington
197778,90,87,96,Affinity_Wilmington
197818,91,78,94,Affinity_Wilmington
197873,87,19,91,Affinity_Wilmington
197878,86,78,96,Affinity_Wilmington
197936,89,85,96,Affinity_Wilmington
197938,83,75,96,Affinity_Wilmington
197939,89,83,96,Affinity_Wilmington
197940,80,71,93,Affinity_Wilmington
197945,73,59,92,Affinity_Wilmington
197947,88,83,96,Affinity_Wilmington
197973,82,74,96,Affinity_Wilmington
198067,90,87,96,Affinity_Wilmington
198068,90,87,96,Affinity_Wilmington
198110,77,70,94,Affinity_Wilmington
198184,77,63,95,Affinity_Wilmington
198188,88,76,88,Affinity_Wilmington
198189,66,58,94,Affinity_Wilmington
198190,73,61,96,Affinity_Wilmington
198250,85,80,94,Affinity_Wilmington
198252,85,80,96,Affinity_Wilmington
198253,85,77,95,Affinity_Wilmington
198292,93,89,95,Affinity_Wilmington
198351,92,89,96,Affinity_Wilmington
198377,79,69,95,Affinity_Wilmington
198435,93,89,96,Affinity_Wilmington
198482,82,72,90,Affinity_Wilmington
198484,76,60,92,Affinity_Wilmington
198486,92,84,95,Affinity_Wilmington
198487,84,67,92,Affinity_Wilmington
198488,77,61,81,Affinity_Wilmington
198491,84,66,92,Affinity_Wilmington
198502,86,82,95,Affinity_Wilmington
198508,90,87,96,Affinity_Wilmington
198512,90,84,96,Affinity_Wilmington
198570,27,14,90,Affinity_Wilmington
198608,92,88,96,Affinity_Wilmington
198744,87,78,96,Affinity_Wilmington
198817,89,72,90,Affinity_Wilmington
198827,84,65,87,Affinity_Wilmington
198828,84,67,96,Affinity_Wilmington
198832,70,51,91,Affinity_Wilmington
198846,87,80,96,Affinity_Wilmington
198848,84,76,93,Affinity_Wilmington
198901,86,80,96,Affinity_Wilmington
198906,91,86,82,Affinity_Wilmington
198945,86,74,91,Affinity_Wilmington
198969,90,85,95,Affinity_Wilmington
198999,91,82,94,Affinity_Wilmington
199009,87,84,96,Affinity_Wilmington
199024,82,77,96,Affinity_Wilmington
199025,74,61,96,Affinity_Wilmington
199027,75,49,94,Affinity_Wilmington
199028,79,69,93,Affinity_Wilmington
199099,81,75,96,Affinity_Wilmington
199112,91,80,95,Affinity_Wilmington
199161,80,41,95,Affinity_Wilmington
199162,74,50,94,Affinity_Wilmington
199174,78,57,93,Affinity_Wilmington
199176,81,60,95,Affinity_Wilmington
199185,90,85,90,Affinity_Wilmington
199186,85,70,94,Affinity_Wilmington
199194,85,69,90,Affinity_Wilmington
199195,90,86,96,Affinity_Wilmington
199200,85,22,96,Affinity_Wilmington
199201,85,69,91,Affinity_Wilmington
199210,85,69,86,Affinity_Wilmington
199212,88,81,95,Affinity_Wilmington
199213,85,69,96,Affinity_Wilmington
199218,87,81,95,Affinity_Wilmington
199223,87,82,96,Affinity_Wilmington
199239,80,66,95,Affinity_Wilmington
199240,91,74,92,Affinity_Wilmington
199258,79,66,88,Affinity_Wilmington
199270,79,66,88,Affinity_Wilmington
199286,92,32,96,Affinity_Wilmington
199294,79,65,96,Affinity_Wilmington
199321,90,85,95,Affinity_Wilmington
199325,90,85,95,Affinity_Wilmington
199334,90,85,96,Affinity_Wilmington
199371,91,88,92,Affinity_Wilmington
199379,82,68,94,Affinity_Wilmington
199381,83,69,95,Affinity_Wilmington
199382,83,69,95,Affinity_Wilmington
199421,87,83,94,Affinity_Wilmington
199455,87,75,96,Affinity_Wilmington
